id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,0.0,0.0,0.0,0.001,0.0,0.006999999999999999,0.0,0.0,0.0,0.0030000000000000005,0.008,0.0,0.0,0.0,0.001,0.0,0.002,0.0,0.0,0.0,0.005,0.006999999999999999,0.002,0.001,0.0,0.0,0.006999999999999999,0.002,0.002,0.001,0.0,0.017,0.009999999999999998,0.005,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.011,0.001,0.10499999999999993,0.0,0.001,0.001,0.001,0.3340000000000001,0.0,0.0030000000000000005,0.005,0.009999999999999998,0.07399999999999997,0.0,0.001,0.0,0.002,0.0,0.001,0.0,0.06499999999999999,0.0030000000000000005,0.002,0.0,0.004,0.0030000000000000005,0.001,0.001,0.004,0.0,0.029000000000000015,0.06899999999999996,0.0,0.005,0.045,0.002,0.002,0.001,0.0,0.06899999999999996,0.020000000000000004,0.0,0.0,0.0,0.019000000000000006,0.0,0.0,0.002,0.0,0.001,0.0,0.0,0.0,0.013999999999999999,0.001
7,0.0,0.001,0.03600000000000001,0.023000000000000007,0.002,0.009999999999999998,0.04499999999999999,0.001,0.0,0.009,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.007000000000000001,0.0,0.029000000000000012,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.002,0.004,0.0,0.001,0.001,0.001,0.0,0.017000000000000005,0.0,0.042000000000000016,0.005,0.023000000000000007,0.015000000000000003,0.03400000000000001,0.005,0.006,0.004,0.0,0.006999999999999999,0.0,0.015000000000000003,0.002,0.002,0.31900000000000006,0.0,0.002,0.002,0.0030000000000000005,0.002,0.001,0.015,0.024000000000000007,0.012000000000000002,0.001,0.0,0.0,0.008,0.001,0.006000000000000001,0.0,0.006,0.0030000000000000005,0.05499999999999997,0.0,0.002,0.0,0.001,0.0,0.0,0.030000000000000016,0.0,0.005,0.006,0.002,0.006999999999999999,0.018000000000000002,0.002,0.0030000000000000005,0.019000000000000003,0.005,0.031000000000000014,0.0,0.005,0.008,0.0,0.0,0.0,0.013000000000000001,0.002,0.023000000000000007,0.0,0.006
9,0.004,0.42800000000000005,0.001,0.0,0.059999999999999956,0.008,0.0,0.009,0.02500000000000001,0.022000000000000006,0.0030000000000000005,0.009,0.006999999999999999,0.006000000000000001,0.03700000000000001,0.006,0.07399999999999995,0.006,0.001,0.002,0.006999999999999999,0.0030000000000000005,0.001,0.0,0.0,0.008,0.029000000000000012,0.002,0.001,0.002,0.0,0.009999999999999998,0.02800000000000001,0.013000000000000001,0.0,0.016000000000000004,0.0,0.0,0.0,0.0,0.001,0.014000000000000002,0.0030000000000000005,0.001,0.009,0.0,0.0,0.001,0.013000000000000001,0.009999999999999998,0.004,0.0,0.001,0.009999999999999998,0.011,0.0030000000000000005,0.0,0.0,0.0,0.0,0.002,0.002,0.001,0.0,0.001,0.0,0.006999999999999999,0.0,0.001,0.0030000000000000005,0.0,0.0,0.0030000000000000005,0.011,0.001,0.0,0.001,0.002,0.001,0.0,0.0,0.001,0.0,0.0030000000000000005,0.009999999999999998,0.0030000000000000005,0.0,0.0,0.0,0.0,0.001,0.0030000000000000005,0.0030000000000000005,0.0,0.005,0.008,0.0,0.0,0.018000000000000006
12,0.006,0.03500000000000002,0.004,0.018000000000000002,0.001,0.0,0.006,0.006,0.020000000000000004,0.013000000000000001,0.0,0.02500000000000001,0.03500000000000002,0.017000000000000005,0.008,0.0030000000000000005,0.002,0.026000000000000006,0.0,0.201,0.002,0.0,0.006,0.0,0.0,0.001,0.015000000000000005,0.001,0.001,0.0,0.0030000000000000005,0.001,0.006000000000000001,0.002,0.001,0.0,0.013999999999999999,0.001,0.004,0.002,0.0,0.034000000000000016,0.0030000000000000005,0.002,0.0030000000000000005,0.009,0.0,0.09199999999999994,0.040000000000000015,0.001,0.009999999999999998,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.008,0.022000000000000006,0.002,0.0,0.005,0.03200000000000001,0.0,0.001,0.001,0.022000000000000006,0.005,0.005,0.0,0.015000000000000005,0.0,0.02400000000000001,0.0,0.0,0.0030000000000000005,0.0,0.001,0.004,0.004,0.0030000000000000005,0.009999999999999998,0.002,0.001,0.012000000000000002,0.006,0.0,0.0,0.009,0.005,0.002,0.0,0.0,0.034000000000000016,0.04699999999999999,0.0030000000000000005,0.002,0.028000000000000008
13,0.022000000000000006,0.023000000000000007,0.0,0.0,0.001,0.001,0.001,0.006,0.12999999999999998,0.002,0.006,0.12599999999999992,0.039000000000000014,0.027000000000000007,0.3610000000000003,0.005,0.013000000000000003,0.001,0.004,0.001,0.006999999999999999,0.0,0.006999999999999999,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.001,0.0,0.006,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.015000000000000003,0.002,0.0,0.002,0.0,0.0,0.001,0.040000000000000015,0.041000000000000016,0.001,0.0,0.0030000000000000005,0.005,0.004,0.002,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.001,0.0,0.001,0.002,0.001,0.001,0.0,0.001,0.0030000000000000005,0.0,0.002,0.0,0.001,0.0,0.002,0.001,0.004,0.004,0.001,0.001,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.002,0.008,0.002,0.027000000000000007,0.0,0.001,0.001
16,0.008,0.0,0.006,0.20100000000000004,0.0,0.0,0.0030000000000000005,0.009,0.0030000000000000005,0.0,0.001,0.002,0.004,0.0030000000000000005,0.001,0.001,0.0,0.009,0.0030000000000000005,0.016000000000000004,0.001,0.0,0.002,0.0,0.0030000000000000005,0.0,0.005,0.005,0.004,0.0030000000000000005,0.006,0.001,0.006,0.0,0.005,0.0,0.004,0.005,0.005,0.006,0.004,0.009999999999999998,0.008,0.08399999999999996,0.006999999999999999,0.046,0.0,0.004,0.0030000000000000005,0.004,0.021000000000000005,0.0,0.017000000000000005,0.0,0.001,0.0030000000000000005,0.0,0.002,0.009999999999999998,0.006,0.023000000000000007,0.001,0.009,0.002,0.0,0.001,0.002,0.013000000000000001,0.013000000000000001,0.04899999999999999,0.0030000000000000005,0.001,0.0,0.03300000000000002,0.0,0.001,0.0,0.001,0.0,0.017,0.0,0.040000000000000015,0.0,0.002,0.005,0.011,0.06299999999999999,0.004,0.0,0.006999999999999999,0.019000000000000006,0.006999999999999999,0.005,0.001,0.04300000000000001,0.013000000000000001,0.032000000000000015,0.0030000000000000005,0.015000000000000003
19,0.011,0.002,0.006,0.43000000000000016,0.0,0.0,0.001,0.0030000000000000005,0.002,0.0,0.0,0.0,0.001,0.0,0.001,0.001,0.001,0.0030000000000000005,0.002,0.01,0.0030000000000000005,0.001,0.0,0.002,0.001,0.0030000000000000005,0.001,0.0030000000000000005,0.005,0.008,0.005,0.001,0.009,0.0,0.008,0.0,0.009,0.0,0.006999999999999999,0.005,0.0,0.014000000000000002,0.005,0.029000000000000012,0.0030000000000000005,0.024000000000000007,0.0,0.0,0.004,0.0030000000000000005,0.030000000000000013,0.0,0.004,0.001,0.0,0.004,0.0,0.0,0.004,0.0030000000000000005,0.022000000000000006,0.0030000000000000005,0.002,0.004,0.0030000000000000005,0.006,0.002,0.002,0.020000000000000004,0.05899999999999998,0.0,0.001,0.001,0.009,0.0,0.0,0.006,0.001,0.0,0.021000000000000005,0.002,0.021000000000000005,0.001,0.002,0.005,0.009999999999999998,0.014000000000000002,0.005,0.0,0.001,0.009999999999999998,0.006999999999999999,0.006,0.0,0.040000000000000015,0.002,0.02700000000000001,0.0,0.012000000000000002
23,0.004,0.0,0.008,0.02600000000000001,0.001,0.025000000000000012,0.001,0.001,0.0,0.0,0.0,0.001,0.002,0.0,0.0,0.064,0.0,0.0030000000000000005,0.0030000000000000005,0.0,0.002,0.0,0.006999999999999999,0.03900000000000003,0.015000000000000003,0.016000000000000004,0.0,0.001,0.1779999999999999,0.13799999999999993,0.024000000000000007,0.001,0.004,0.002,0.006999999999999999,0.0,0.002,0.011,0.005,0.009,0.001,0.0,0.015,0.016000000000000004,0.002,0.004,0.0,0.0,0.001,0.0,0.001,0.001,0.008,0.001,0.0,0.032000000000000015,0.0,0.0,0.0,0.0030000000000000005,0.023000000000000007,0.02500000000000001,0.009999999999999998,0.004,0.0,0.004,0.008,0.006999999999999999,0.017000000000000005,0.02800000000000001,0.017000000000000005,0.011,0.0,0.016,0.0,0.0,0.004,0.001,0.0,0.041000000000000016,0.008,0.018000000000000002,0.0,0.0,0.004,0.0030000000000000005,0.014000000000000002,0.004,0.001,0.001,0.011,0.0030000000000000005,0.001,0.0,0.0,0.0,0.018000000000000006,0.002,0.011
24,0.008,0.012000000000000002,0.005,0.005,0.006,0.013000000000000003,0.0,0.001,0.0030000000000000005,0.0030000000000000005,0.009999999999999998,0.0,0.0,0.0,0.004,0.0,0.019000000000000006,0.002,0.0,0.0,0.011,0.020000000000000004,0.0,0.0,0.0,0.0,0.019000000000000006,0.006,0.0,0.0,0.0,0.040000000000000015,0.02800000000000001,0.009,0.001,0.0030000000000000005,0.005,0.005,0.0030000000000000005,0.011,0.004,0.023000000000000007,0.012,0.0030000000000000005,0.014000000000000002,0.005,0.001,0.0,0.0,0.002,0.002,0.011,0.001,0.001,0.009999999999999998,0.004,0.001,0.0030000000000000005,0.006999999999999999,0.006,0.0,0.005,0.0,0.002,0.006,0.004,0.009,0.0,0.019,0.002,0.0,0.004,0.009,0.0,0.0030000000000000005,0.006999999999999999,0.0030000000000000005,0.023000000000000007,0.005,0.001,0.002,0.002,0.001,0.009999999999999998,0.49300000000000005,0.002,0.0,0.0030000000000000005,0.0,0.002,0.002,0.0030000000000000005,0.0,0.002,0.009,0.001,0.0,0.004,0.0
28,0.03500000000000001,0.013000000000000001,0.0,0.004,0.0030000000000000005,0.002,0.006999999999999999,0.015000000000000003,0.544,0.002,0.005,0.024000000000000007,0.031000000000000014,0.017,0.021000000000000005,0.006999999999999999,0.0030000000000000005,0.006999999999999999,0.002,0.0030000000000000005,0.009999999999999998,0.001,0.001,0.0,0.0,0.006999999999999999,0.006999999999999999,0.0,0.002,0.001,0.0,0.002,0.008,0.012,0.0030000000000000005,0.002,0.0,0.0,0.001,0.001,0.0,0.006,0.001,0.0,0.001,0.001,0.0,0.001,0.02700000000000001,0.014000000000000002,0.002,0.0,0.0030000000000000005,0.002,0.0030000000000000005,0.006,0.0,0.0,0.001,0.0,0.006,0.002,0.0,0.006,0.0,0.009999999999999998,0.001,0.0,0.0,0.001,0.0030000000000000005,0.001,0.0,0.001,0.001,0.0,0.0,0.0030000000000000005,0.0,0.004,0.002,0.0,0.0,0.0030000000000000005,0.0030000000000000005,0.0,0.002,0.0,0.0,0.0030000000000000005,0.0,0.009,0.004,0.004,0.03500000000000002,0.018000000000000006,0.001,0.0,0.006
